Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,-0.000382683,0.00092388,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02862,0.384763,1,-0.00395791,0.00355389,-0.000280352,0.0053267,1.03362
2,1,0,-0.000765367,0.00184776,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02659,0.384186,1,-0.0051521,0.00268535,-0.000659099,0.00584719,1.03784
3,1,0,-0.00114805,0.00277164,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02652,0.378566,1,-0.00650633,0.00345107,-0.00078548,0.0074067,1.04769
4,1,0,-0.00153073,0.00369552,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0231,0.371894,1,-0.00497162,0.00164696,0.000621644,0.00527408,1.05325
5,1,0,-0.00191342,0.0046194,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01806,0.37183,1,-0.00160461,-0.0022927,0.000920313,0.00294589,1.05474
6,1,0,-0.0022961,0.00554328,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01618,0.375218,1,0.00144467,-0.00711657,0.00132019,0.00738075,1.06072
7,1,0,-0.00267878,0.00646716,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02154,0.369889,1,0.00244363,-0.00954061,-0.000763924,0.00987817,1.07544
8,1,0,-0.00306147,0.00739104,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.032,0.367031,1,-0.00211529,-0.00198806,-0.00202447,0.00353911,1.08965
9,1,0,-0.00344415,0.00831492,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04099,0.377958,1,-0.00421985,0.00408098,-0.000355866,0.00588117,1.09573
10,1,0,-0.00382683,0.0092388,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0465,0.399818,1,-0.00319118,0.00461902,0.000814307,0.00567293,1.09312
11,1,0,-0.00420952,0.0101627,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04838,0.418077,1,-0.00181587,0.0011004,0.000909464,0.00230985,1.09715
12,1,0,-0.0045922,0.0110866,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04546,0.426014,1,-0.00250829,-0.00125514,-2.06506e-05,0.00280488,1.0986
13,1,0,-0.00497488,0.0120104,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04182,0.429027,1,-0.00601608,0.00166138,-0.00101218,0.00632281,1.11617
14,1,0,-0.00535757,0.0129343,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03687,0.431403,1,-0.00922749,0.00648513,-0.00017516,0.0112798,1.1303
15,1,0,-0.00574025,0.0138582,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02919,0.436105,1,-0.010123,0.00691309,0.000821075,0.0122858,1.1191
16,1,0,-0.00612294,0.0147821,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0193,0.442981,1,-0.0101084,0.00483493,0.000956661,0.011246,1.1008
17,1,0,-0.00650562,0.015706,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00888,0.449511,1,-0.0099603,0.00297428,0.000749319,0.0104219,1.10018
18,1,0,-0.0068883,0.0166298,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99864,0.454394,1,-0.0100214,0.0016876,0.000360062,0.0101689,1.11024
19,1,0,-0.00727099,0.0175537,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98938,0.458174,1,-0.0103937,0.00151938,-9.47786e-05,0.0105046,1.11612
20,1,0,-0.00765367,0.0184776,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98212,0.459649,1,-0.0109973,0.00215018,-0.000190429,0.0112071,1.11855
21,1,0,-0.00803635,0.0194015,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.97516,0.457459,1,-0.0115521,0.00266298,-0.000240763,0.0118575,1.11924
22,1,0,-0.00841904,0.0203253,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96457,0.451464,1,-0.0121323,0.0031011,-0.000343979,0.0125271,1.12018
23,1,0,-0.00880172,0.0212492,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94978,0.446853,1,-0.0126517,0.00356975,-0.000400181,0.0131518,1.11843
24,1,0,-0.0091844,0.0221731,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.93267,0.448452,1,-0.0128428,0.00411567,-0.000470401,0.0134944,1.11443
25,1,0,-0.00956709,0.023097,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91481,0.455442,1,-0.0126772,0.00463553,-0.000489363,0.013507,1.11246
26,1,0,-0.00994977,0.0240209,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89544,0.461737,1,-0.0118646,0.00414451,-8.16147e-05,0.0125679,1.10409
27,1,0,-0.0103325,0.0249447,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.87469,0.464089,1,-0.0101698,0.00097179,0.000511828,0.010229,1.08329
28,1,0,-0.0107151,0.0258686,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.85777,0.465041,1,-0.00805603,-0.0046991,0.00105915,0.00938632,1.07461
29,1,0,-0.0110978,0.0267925,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.85919,0.467137,1,-0.00541403,-0.0147071,0.0044438,0.0162898,1.27699
30,0,0,-0.0114805,0.0277164,0,0.03,0.0349709,-0.0711201,5.35981,5.3604,0.000743783,0.000252034,0.0120474,0.000328548,-0.0011581,-0.00024327,0.0121352,0.3722,1.07897e-05,-6.85059,0.438967,1,0,0,0,0,0
31,0,0,-0.0118632,0.0286403,0,0.031,0.0591708,-0.133358,9.21484,9.216,0.000391676,0.000366863,0.0054299,0.000124788,-0.00119582,0.000164225,0.00558967,0.689044,0.000136355,-6.40616,0.356406,1,0,0,0,0,0
32,0,0,-0.0122459,0.0295641,0,0.032,0.0698159,-0.160903,10.435,10.4365,0.000272363,0.000414969,0.00372476,3.42907e-05,-0.00111292,0.000241006,0.00392659,0.502881,0.000156376,-6.04977,0.296968,1,0,0,0,0,0
