Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,-0.000707107,-0.000707107,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03337,0.397148,1,-0.00227734,0.00410607,-0.000422357,0.00471428,1.0217
2,1,0,-0.00141421,-0.00141421,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03363,0.421927,1,-0.00144505,0.00322102,-0.00163439,0.00389029,1.02855
3,1,0,-0.00212132,-0.00212132,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03497,0.431345,1,-0.000311639,0.00236162,-0.00212443,0.00319179,1.03779
4,1,0,-0.00282843,-0.00282843,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03389,0.433019,1,0.0029897,-0.0023121,-0.00101744,0.00391399,1.0561
5,1,0,-0.00353553,-0.00353553,0,0.005,6.0565e-19,2.31221e-18,1.74631e-19,2.39659e-18,4.85766e-18,1.02639e-17,1.73102e-19,-1.78257e-18,-6.95415e-20,1.45594e-19,1.14969e-17,2e-05,4.04704e-24,-7.0333,0.423174,1,0.00413549,-0.00288341,-0.00029677,0.00505019,1.06204
6,1,0,-0.00424264,-0.00424264,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03398,0.40562,1,0.00508026,-0.00402614,-0.000415456,0.0064955,1.0871
7,1,0,-0.00494975,-0.00494975,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03633,0.389918,1,0.00408329,-0.00506545,-0.00117851,0.00661218,1.1032
8,1,0,-0.00565685,-0.00565685,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0392,0.369151,1,0.000569546,-0.00641816,-0.00107392,0.00653227,1.12033
9,1,0,-0.00636396,-0.00636396,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03889,0.35056,1,0.00037502,-0.00723939,-0.000722575,0.00728502,1.13073
