Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,2.47402e-34,-3.82499e-34,-4.57993e-36,4.55559e-34,5.36857e-34,6.67731e-34,3.8014e-36,-4.24693e-35,-1.00703e-35,-1.77021e-35,8.58087e-34,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,-0.000382683,-0.00092388,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0379,0.394038,1,-0.00102454,0.00289511,-0.000489114,0.00310975,1.04008
2,1,0,-0.000765367,-0.00184776,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03884,0.41108,1,0.00102872,-0.00137384,-0.00190536,0.00256439,1.05171
3,1,0,-0.00114805,-0.00277164,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03907,0.419538,1,0.00287876,-0.00642584,-0.000544227,0.00706221,1.0492
4,1,0,-0.00153073,-0.00369552,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03746,0.420308,1,0.00393554,-0.00673724,-5.86163e-05,0.00780272,1.05794
5,1,0,-0.00191342,-0.0046194,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0337,0.421351,1,0.00579538,-0.00737489,0.000159727,0.00938088,1.07153
6,1,0,-0.0022961,-0.00554328,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03293,0.4197,1,0.00705978,-0.00599784,0.000434879,0.00927382,1.08683
7,1,0,-0.00267878,-0.00646716,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03747,0.41062,1,0.00645947,-0.00520646,-0.000390916,0.00830571,1.11417
8,1,0,-0.00306147,-0.00739104,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04371,0.395193,1,0.00566327,-0.00641975,-0.000337013,0.00856734,1.14396
9,1,0,-0.00344415,-0.00831492,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04372,0.383695,1,0.0062395,-0.00679939,-0.000353165,0.00923514,1.15267
10,1,0,-0.00382683,-0.0092388,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03737,0.380097,1,0.00686615,-0.00721016,-8.26747e-05,0.00995676,1.14698
11,1,0,-0.00420952,-0.0101627,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02778,0.382158,1,0.00672838,-0.00772706,-0.000259054,0.0102492,1.14034
12,1,0,-0.0045922,-0.0110866,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01592,0.389051,1,0.0062818,-0.00882461,-0.000444442,0.0108412,1.13312
13,1,0,-0.00497488,-0.0120104,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00333,0.39548,1,0.00623887,-0.0102944,-0.000796765,0.0120637,1.12327
14,1,0,-0.00535757,-0.0129343,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99031,0.397838,1,0.00602808,-0.012832,-0.000169615,0.0141784,1.13116
15,1,0,-0.00574025,-0.0138582,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.97758,0.394046,1,0.00620684,-0.0132457,-0.000254758,0.0146301,1.16314
16,1,0,-0.00612294,-0.0147821,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96375,0.385797,1,0.0058085,-0.0135217,-0.000379024,0.0147213,1.19617
17,1,0,-0.00650562,-0.015706,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94502,0.373917,1,0.00526651,-0.0141376,-0.000228388,0.0150884,1.21265
18,1,0,-0.0068883,-0.0166298,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.92163,0.357765,1,0.00556146,-0.013819,-8.76725e-05,0.0148964,1.21489
19,1,0,-0.00727099,-0.0175537,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89681,0.336114,1,0.00634994,-0.0136978,-0.000661864,0.0151126,1.23125
20,1,0,-0.00765367,-0.0184776,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.86909,0.314296,1,0.00778042,-0.0142592,-0.00053117,0.0162524,1.2456
21,1,0,-0.00803635,-0.0194015,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.83784,0.297693,1,0.0092469,-0.0136738,-0.000111289,0.0165073,1.23674
22,1,0,-0.00841904,-0.0203253,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.80472,0.287462,1,0.0101439,-0.0117709,6.79137e-06,0.0155388,1.22075
23,1,0,-0.00880172,-0.0212492,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.77232,0.284266,1,0.0102203,-0.00982252,-0.00016796,0.0141762,1.21844
24,1,0,-0.0091844,-0.0221731,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.74409,0.284159,1,0.00892502,-0.00884928,-0.000451581,0.0125766,1.22665
25,1,0,-0.00956709,-0.023097,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.72237,0.283538,1,0.00696192,-0.00861703,-0.000534565,0.0110909,1.23826
26,1,0,-0.00994977,-0.0240209,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.70352,0.293737,1,0.00563958,-0.00827786,-0.000468317,0.0100273,1.23887
27,1,0,-0.0103325,-0.0249447,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.68243,0.318523,1,0.00527755,-0.00747103,-0.000212025,0.00914953,1.20892
28,1,0,-0.0107151,-0.0258686,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.65999,0.345554,1,0.00670197,-0.00512648,0.000461516,0.00845045,1.18115
29,1,0,-0.0110978,-0.0267925,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.65738,0.351339,1,0.0142221,0.00329729,0.00533838,0.0155447,1.34086
30,0,0,-0.0114805,-0.0277164,0,0.03,0.0266751,0.0709295,5.32298,5.32352,0.00176761,0.000427006,0.0114203,-0.000696233,0.000939213,0.000641781,0.0116408,0.370578,1.07311e-05,-6.65598,0.324958,1,0,0,0,0,0
31,0,0,-0.0118632,-0.0286403,0,0.031,0.0509981,0.129986,9.1928,9.19386,0.00092686,0.000416031,0.00392024,-0.000212049,0.000852776,0.00060183,0.00418746,0.690165,0.000136165,-6.23681,0.245925,1,0,0,0,0,0
32,4.75486e-06,4.75398e-06,-0.0122459,-0.0295641,0,0.032,0.0623094,0.156393,10.4178,10.4191,0.000640473,0.000371188,0.00254354,-6.37032e-05,0.000731126,0.000484389,0.0027912,0.504036,0.000155916,-5.90032,0.196125,1,0,0,0,0,0
33,1,0,-0.0126286,-0.030488,0,0.033,0.0696568,0.173471,11.3113,11.3128,0.000468778,0.00033956,0.00173768,1.35211e-05,0.000622982,0.000386927,0.00197296,0.229857,0.000100959,-5.58848,0.161505,1,0,0,0,0,0
34,1,0,-0.0130112,-0.0314119,0,0.034,0.0743962,0.184448,11.8556,11.8572,0.000360685,0.000317378,0.00103062,5.47689e-05,0.000490919,0.000286036,0.00127233,0.0198896,1.72656e-05,-5.29261,0.135733,1,0,0,0,0,0
35,1,8.57258e-10,-0.0133939,-0.0323358,0,0.035,0.0772312,0.190859,11.8875,11.8893,0.000297526,0.000286914,0.000649501,6.53073e-05,0.000379018,0.000212427,0.000886419,6.85152e-05,3.76266e-07,-5.01839,0.116118,1,0,0,0,0,0
