Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.000382683,-0.00092388,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04446,0.37455,1,-0.000637402,0.00212072,-0.000456486,0.002261,1.05495
2,1,0,0.000765367,-0.00184776,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05091,0.375064,1,0.000915547,-0.00166738,-0.00095885,0.0021302,1.07488
3,1,0,0.00114805,-0.00277164,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0557,0.373768,1,0.000669353,-0.00652813,-0.00133316,0.0066964,1.09941
4,1,0,0.00153073,-0.00369552,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0576,0.376577,1,0.00092303,-0.00922039,-0.000375098,0.00927406,1.13222
5,1,0,0.00191342,-0.0046194,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05779,0.3803,1,0.00093654,-0.00894223,0.000287759,0.00899574,1.16318
6,1,0,0.0022961,-0.00554328,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05436,0.385912,1,0.00135144,-0.00793007,1.38171e-05,0.00804442,1.19081
7,1,0,0.00267878,-0.00646716,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05094,0.392814,1,0.00195952,-0.00620229,6.27747e-05,0.00650478,1.20117
8,1,0,0.00306147,-0.00739104,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04954,0.396976,1,0.00179465,-0.00433073,0.000756251,0.00474846,1.19952
9,1,0,0.00344415,-0.00831492,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04771,0.402437,1,0.000987494,-0.0038174,0.000575037,0.00398476,1.19647
10,1,0,0.00382683,-0.0092388,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04492,0.411981,1,0.000952922,-0.00704312,-0.000821391,0.00715459,1.2016
11,1,0,0.00420952,-0.0101627,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04081,0.423095,1,0.0021295,-0.0122662,-0.00155996,0.012547,1.22621
12,1,0,0.0045922,-0.0110866,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03199,0.429542,1,0.00404444,-0.017033,-0.0016902,0.017588,1.25809
13,1,0,0.00497488,-0.0120104,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01517,0.429288,1,0.0064662,-0.0199902,-0.000934597,0.0210308,1.27838
14,1,0,0.00535757,-0.0129343,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98996,0.426626,1,0.00750683,-0.0189488,0.000109098,0.0203819,1.27531
15,1,0,0.00574025,-0.0138582,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96251,0.424554,1,0.00483061,-0.0145013,0.00154843,0.0153629,1.26054
16,1,0,0.00612294,-0.0147821,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94073,0.416157,1,0.00023421,-0.0080481,0.0022451,0.00835866,1.24849
17,1,0,0.00650562,-0.015706,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.92711,0.397185,1,-0.00451334,-0.00118497,0.00135049,0.0048578,1.25519
18,1,0,0.0068883,-0.0166298,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91509,0.373002,1,-0.00627132,0.00102335,-0.000470225,0.00637164,1.2667
19,1,0,0.00727099,-0.0175537,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.8993,0.34728,1,-0.00453351,-0.000289302,-0.000838404,0.00461945,1.27036
20,1,0,0.00765367,-0.0184776,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.87715,0.323671,1,-0.00206302,-0.00176896,-0.000671829,0.0027994,1.25749
21,1,0,0.00803635,-0.0194015,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.84738,0.308461,1,-0.000414375,-0.00289525,-0.000638358,0.0029936,1.21725
22,1,0,0.00841904,-0.0203253,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.81132,0.310622,1,0.000590505,-0.00374679,-0.000466884,0.00382166,1.1665
23,1,0,0.00880172,-0.0212492,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.77317,0.335473,1,0.000952154,-0.00377632,-0.000131574,0.00389673,1.11732
24,1,0,0.0091844,-0.0221731,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.73819,0.371739,1,0.000678733,-0.00292868,-2.58658e-05,0.00300641,1.08033
25,1,0,0.00956709,-0.023097,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.71116,0.388312,1,0.00043859,-0.0022308,-0.000199976,0.00228229,1.05651
26,1,0,0.00994977,-0.0240209,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.69051,0.384442,1,0.0005069,-0.00238742,-0.000204628,0.0024492,1.04464
27,1,0,0.0103325,-0.0249447,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.67441,0.370138,1,0.00132387,-0.00416666,-0.000754905,0.00443661,1.04296
28,1,0,0.0107151,-0.0258686,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.65956,0.352465,1,0.00413362,-0.00427989,0.000138551,0.00595176,1.05814
29,1,0,0.0110978,-0.0267925,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.65709,0.346962,1,-0.0015456,0.00828657,0.00675008,0.0107991,1.25696
30,0,0,0.0114805,-0.0277164,0,0.03,-0.0253456,0.0717622,5.32339,5.32393,0.00119166,0.000207211,0.0110369,0.000355426,0.000525862,-0.00124541,0.0111906,0.370542,1.07335e-05,-6.65553,0.328395,1,0,0,0,0,0
31,0,0,0.0118632,-0.0286403,0,0.031,-0.05079,0.130458,9.19138,9.19244,0.000687734,0.000285983,0.00419472,-6.06322e-08,0.000849179,-0.0007374,0.00440628,0.690126,0.000136193,-6.23344,0.258576,1,0,0,0,0,0
32,0,0,0.0122459,-0.0295641,0,0.032,-0.0621983,0.156606,10.4161,10.4175,0.000496916,0.000329284,0.00273436,-9.15841e-05,0.000799232,-0.000548986,0.00296321,0.504266,0.000156021,-5.89606,0.208858,1,0,0,0,0,0
33,1,0,0.0126286,-0.030488,0,0.033,-0.0696026,0.173505,11.3096,11.3112,0.000374353,0.000348238,0.00185662,-0.000129115,0.000699216,-0.000415623,0.00209446,0.230262,0.000101102,-5.58461,0.172399,1,0,0,0,0,0
34,1,-1.42886e-12,0.0130112,-0.0314119,0,0.034,-0.0744296,0.184336,11.8547,11.8563,0.000293434,0.000351009,0.00109804,-0.000141601,0.000550954,-0.000299896,0.00135224,0.0200296,1.7337e-05,-5.28962,0.144805,1,0,0,0,0,0
35,0.998495,0.00149181,0.0133939,-0.0323358,0,0.035,-0.0772804,0.190457,11.8869,11.8886,0.000240419,0.00032741,0.000692639,-0.000130764,0.000424202,-0.000214401,0.000942212,6.94036e-05,3.84833e-07,-5.01631,0.123841,1,0,0,0,0,0
36,1,0,0.0137766,-0.0332597,0,0.036,-0.0789702,0.195742,11.8566,11.8584,0.000202241,0.000305385,0.000588823,-0.000120022,0.000380171,-0.0001828,0.000820503,2.07019e-05,1.20148e-07,-4.76867,0.107733,1,0,0,0,0,0
