Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,-0.001,1.22465e-19,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0287,0.399532,1,-0.00464362,0.0046414,-0.00039407,0.00657732,1.02491
2,1,0,-0.002,2.44929e-19,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02645,0.411642,1,-0.00610297,0.00644441,0.000466167,0.00888786,1.02127
3,1,0,-0.003,3.67394e-19,0,0.003,3.16248e-19,-5.39705e-18,3.13345e-20,5.4064e-18,-6.56173e-19,1.34203e-18,-2.47167e-19,-1.69963e-18,-1.08059e-19,-8.3844e-20,2.28039e-18,2e-05,1.26901e-24,-7.02735,0.411676,1,-0.00416898,0.00800811,0.00140614,0.00913715,1.04267
4,1,0,-0.004,4.89859e-19,0,0.004,-5.06372e-19,-1.36587e-17,7.45095e-19,1.36884e-17,-1.25597e-18,-1.07385e-18,-6.78721e-19,-4.32224e-18,-6.54274e-19,-3.40465e-19,4.73466e-18,2e-05,2.45979e-24,-7.02757,0.401125,1,-0.000601419,0.00849876,0.00149122,0.00864953,1.06881
5,1,0,-0.005,6.12323e-19,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02622,0.38762,1,0.0030864,0.00771776,0.00135339,0.00842148,1.07755
6,1,0,-0.006,7.34788e-19,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02563,0.375361,1,0.00496918,0.00644375,0.000325733,0.00814375,1.06487
7,1,0,-0.007,8.57253e-19,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03226,0.3575,1,0.00573979,0.00496943,-0.000330736,0.00759933,1.0644
8,1,0,-0.008,9.79717e-19,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0405,0.339706,1,0.00448795,0.00280607,-0.00108882,0.00540381,1.08439
9,1,0,-0.009,1.10218e-18,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04604,0.324989,1,0.00147679,0.00102251,-0.00081458,0.0019723,1.1078
10,1,0,-0.01,1.22465e-18,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04777,0.315399,1,-0.000617313,0.000157334,-0.00024564,0.000682765,1.12388
11,1,0,-0.011,1.34711e-18,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04774,0.314156,1,-0.00058089,0.000100272,0.000370255,0.000696116,1.11905
12,1,0,-0.012,1.46958e-18,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04889,0.320337,1,-4.99023e-05,0.00172204,7.66117e-05,0.00172447,1.10763
13,1,0,-0.013,1.59204e-18,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05047,0.32964,1,-0.00033524,0.00316995,-0.00028383,0.00320024,1.09642
14,1,0,-0.014,1.71451e-18,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0499,0.338608,1,-0.00130572,0.00307404,-0.000381929,0.00336162,1.09313
15,1,0,-0.015,1.83697e-18,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04668,0.346332,1,-0.0027904,0.0019074,-0.000316928,0.00339484,1.10349
16,1,0,-0.016,1.95943e-18,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04045,0.352751,1,-0.00387211,0.000206621,-0.000354182,0.00389376,1.11456
17,1,0,-0.017,2.0819e-18,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03142,0.359763,1,-0.00489857,-0.00197211,-0.000310563,0.00528977,1.12218
18,1,0,-0.018,2.20436e-18,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02112,0.368818,1,-0.00558258,-0.00337538,-0.000312481,0.00653116,1.12842
19,1,0,-0.019,2.32683e-18,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00991,0.378698,1,-0.00664623,-0.003657,-0.000390578,0.00759596,1.14343
20,1,0,-0.02,2.44929e-18,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99645,0.388018,1,-0.008144,-0.00310928,-0.000515902,0.00873262,1.15486
21,1,0,-0.021,2.57176e-18,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98015,0.396284,1,-0.00987535,-0.00200489,-0.000599637,0.0100946,1.16474
22,1,0,-0.022,2.69422e-18,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96005,0.400875,1,-0.0114161,-0.00045656,-0.000435071,0.0114335,1.1796
23,1,0,-0.023,2.81669e-18,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.93638,0.400322,1,-0.0122748,0.000785993,-0.000305796,0.0123037,1.20648
24,1,0,-0.024,2.93915e-18,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91147,0.390735,1,-0.0121754,0.0016382,-0.000431195,0.0122927,1.23341
25,1,0,-0.025,3.06162e-18,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.88434,0.372524,1,-0.0115703,0.00241625,-0.000445622,0.0118283,1.25733
26,1,0,-0.026,3.18408e-18,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.8505,0.351806,1,-0.0108802,0.00336004,-0.000373863,0.0113934,1.24858
27,1,0,-0.027,3.30655e-18,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.81174,0.333272,1,-0.00873025,0.0041763,2.44736e-05,0.00967778,1.20962
28,1,0,-0.028,3.42901e-18,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.77593,0.321871,1,-0.00377839,0.0041329,0.000731654,0.00564734,1.15051
29,1,0,-0.029,3.55148e-18,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.75784,0.320701,1,0.00599506,0.00169329,0.0031395,0.00697599,1.21701
30,1,0,-0.03,3.67394e-18,0,0.03,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.84346,0.316526,1,0.057028,0.00034372,-0.262058,0.268192,2.28365
31,0,0,-0.031,3.7964e-18,0,0.031,0.142001,0.00026975,8.80945,8.81059,0.000249327,0.00105692,0.00452146,5.37962e-05,0.000411558,0.000895222,0.00475358,0.710133,0.000112205,-6.40244,0.259515,1,0,0,0,0,0
32,0,0,-0.032,3.91887e-18,0,0.032,0.175078,0.000561064,10.1766,10.1781,0.000306436,0.00067062,0.00294964,6.97892e-05,0.000297272,0.000837083,0.00316827,0.556897,0.000163349,-6.03361,0.216956,1,0,0,0,0,0
33,0.999562,0.000436386,-0.033,4.04133e-18,0,0.033,0.195055,0.000689153,11.1189,11.1207,0.000336377,0.00046068,0.00208973,7.52704e-05,0.000222708,0.000757232,0.00230673,0.298273,0.000119779,-5.70406,0.185192,1,0,0,0,0,0
34,1,0,-0.034,4.1638e-18,0,0.034,0.207065,0.000814574,11.7577,11.7595,0.000353571,0.000334315,0.00142735,7.52266e-05,0.000163542,0.00065544,0.00165412,0.0559339,3.43606e-05,-5.39304,0.15966,1,0,0,0,0,0
35,0.727783,0.120677,-0.035,4.28626e-18,0,0.035,0.213773,0.000912181,11.8969,11.8988,0.000347024,0.000261451,0.000754094,7.10813e-05,0.000105194,0.000474883,0.000999536,0.000375888,2.09596e-06,-5.10362,0.138879,1,0,0,0,0,0
36,1,0,-0.036,4.40873e-18,0,0.036,0.217966,0.000884335,11.8652,11.8672,0.000332459,0.000215222,0.000648591,6.73586e-05,9.06291e-05,0.000435738,0.000883254,2.08873e-05,1.19648e-07,-4.84577,0.122301,1,0,0,0,0,0
37,1,0,-0.037,4.53119e-18,0,0.037,0.221619,0.000646364,11.8371,11.8392,0.000321709,0.000179028,0.000569293,6.45211e-05,7.99452e-05,0.000404815,0.000796286,2.06439e-05,1.26249e-07,-4.61184,0.10853,1,0,0,0,0,0
38,1,0,-0.038,4.65366e-18,0,0.038,0.22481,0.000860591,11.8088,11.811,0.000311695,0.000150165,0.000499829,6.18581e-05,7.17387e-05,0.000375599,0.000720819,2.05896e-05,1.41888e-07,-4.38603,0.0963183,1,0,0,0,0,0
39,1,0,-0.039,4.77612e-18,0,0.039,0.226628,0.000742574,11.7849,11.7871,0.000300814,0.000127585,0.00043926,5.69673e-05,6.15978e-05,0.000347224,0.000653697,2.05455e-05,1.44295e-07,-4.19586,0.0868163,1,0,0,0,0,0
40,1,0,-0.04,4.89859e-18,0,0.04,0.227421,0.000587121,11.7626,11.7648,0.00028962,0.000108744,0.000390953,5.37745e-05,5.50503e-05,0.000322262,0.000598602,2.05069e-05,1.60129e-07,-4.00767,0.0780696,1,0,0,0,0,0
41,1,0,-0.041,5.02105e-18,0,0.041,0.228781,0.000462686,11.7412,11.7434,0.000280403,9.41181e-05,0.000345975,5.04696e-05,4.83749e-05,0.000298367,0.000548719,2.04768e-05,1.66e-07,-3.83093,0.0703829,1,0,0,0,0,0
42,1,0,-0.042,5.14352e-18,0,0.042,0.226798,0.000466336,11.7213,11.7235,0.000269422,8.20541e-05,0.000307747,4.70584e-05,4.24666e-05,0.000275405,0.00050388,2.04486e-05,1.76034e-07,-3.66641,0.063635,1,0,0,0,0,0
43,1,0,-0.043,5.26598e-18,0,0.043,0.227205,0.00037854,11.7027,11.7049,0.000260311,7.22806e-05,0.000274456,4.50649e-05,3.84602e-05,0.000254395,0.000465338,2.04138e-05,1.82544e-07,-3.50678,0.0575461,1,0,0,0,0,0
44,1,0,-0.044,5.38845e-18,0,0.044,0.22428,0.000783562,11.6852,11.6874,0.00024951,6.41529e-05,0.000249159,4.3297e-05,3.57131e-05,0.000234311,0.00043186,2.03737e-05,1.84802e-07,-3.3629,0.0523728,1,0,0,0,0,0
45,1,0,-0.045,5.51091e-18,0,0.045,0.225364,-0.00215552,11.6678,11.67,0.000248162,5.65132e-05,0.000222718,3.8168e-05,2.81497e-05,0.000217504,0.000404894,2.03569e-05,1.99681e-07,-3.20811,0.0474148,1,0,0,0,0,0
46,1,0,-0.046,5.63338e-18,0,0.046,0.230508,0.00350372,11.6541,11.6564,0.000250202,5.13877e-05,0.000202148,3.9293e-05,2.84046e-05,0.00020809,0.000389561,2.03509e-05,2.1638e-07,-3.08553,0.0437629,1,0,0,0,0,0
47,1,0,-0.047,5.75584e-18,0,0.047,0.23105,0.00259553,11.6395,11.6418,0.00025049,4.71626e-05,0.000185448,3.65582e-05,2.53363e-05,0.000196883,0.000374302,2.0339e-05,2.2703e-07,-2.95732,0.0406198,1,0,0,0,0,0
48,1,0,-0.048,5.8783e-18,0,0.048,0.231592,0.00168734,11.6249,11.6272,0.000250778,4.29375e-05,0.000168747,3.38233e-05,2.2268e-05,0.000185676,0.000359617,2.03272e-05,2.37681e-07,-2.82912,0.0374766,1,0,0,0,0,0
49,1,0,-0.049,6.00077e-18,0,0.049,0.232133,0.00077915,11.6103,11.6126,0.000251065,3.87124e-05,0.000152047,3.10884e-05,1.91997e-05,0.000174469,0.00034558,2.03153e-05,2.48332e-07,-2.70091,0.0343334,1,0,0,0,0,0
50,1,0,-0.05,6.12323e-18,0,0.05,0.232146,0.00039489,11.5979,11.6002,0.000245846,3.52525e-05,0.000138246,2.89397e-05,1.68903e-05,0.000163779,0.00032976,2.03016e-05,2.56198e-07,-2.58631,0.0316832,1,0,0,0,0,0
51,1,0,-0.051,6.2457e-18,0,0.051,0.231976,0.000190249,11.5862,11.5886,0.000238739,3.2055e-05,0.000125439,2.69919e-05,1.48411e-05,0.000153267,0.000313367,2.02871e-05,2.63109e-07,-2.47638,0.0292019,1,0,0,0,0,0
52,1,0,-0.052,6.36816e-18,0,0.052,0.231807,-1.4394e-05,11.5746,11.5769,0.000231632,2.88575e-05,0.000112632,2.50441e-05,1.27919e-05,0.000142755,0.000297224,2.02727e-05,2.70021e-07,-2.36644,0.0267206,1,0,0,0,0,0
53,1,0,-0.053,6.49063e-18,0,0.053,0.231638,-0.000219036,11.5629,11.5652,0.000224526,2.566e-05,9.98249e-05,2.30964e-05,1.07427e-05,0.000132244,0.000281376,2.02582e-05,2.76932e-07,-2.25651,0.0242393,1,0,0,0,0,0
54,1,0,-0.054,6.61309e-18,0,0.054,0.22996,-0.000116272,11.5535,11.5558,0.000217413,2.36505e-05,8.95944e-05,2.13791e-05,9.60781e-06,0.000122258,0.000267117,2.02464e-05,2.81381e-07,-2.16156,0.0222933,1,0,0,0,0,0
55,1,0,-0.055,6.73556e-18,0,0.055,0.228252,-7.29987e-06,11.5441,11.5464,0.000210301,2.1665e-05,7.94159e-05,1.96665e-05,8.49142e-06,0.000112283,0.000253118,2.02347e-05,2.85779e-07,-2.06692,0.0203581,1,0,0,0,0,0
56,1,0,-0.056,6.85802e-18,0,0.056,0.226544,0.000101673,11.5347,11.537,0.000203188,1.96795e-05,6.92374e-05,1.79539e-05,7.37502e-06,0.000102307,0.000239395,2.02229e-05,2.90177e-07,-1.97227,0.0184228,1,0,0,0,0,0
57,1,0,-0.057,6.98049e-18,0,0.057,0.224836,0.000210646,11.5254,11.5276,0.000196075,1.7694e-05,5.90589e-05,1.62412e-05,6.25863e-06,9.23321e-05,0.000225997,2.02111e-05,2.94576e-07,-1.87763,0.0164876,1,0,0,0,0,0
58,1,0,-0.058,7.10295e-18,0,0.058,0.222351,0.000297355,11.5173,11.5195,0.000189783,1.63017e-05,5.22557e-05,1.50571e-05,5.45902e-06,8.43867e-05,0.000215387,2.02024e-05,3.03319e-07,-1.79496,0.0150445,1,0,0,0,0,0
59,1,0,-0.059,7.22542e-18,0,0.059,0.219481,0.000373079,11.51,11.5121,0.000183896,1.5202e-05,4.71178e-05,1.41337e-05,4.81571e-06,7.74428e-05,0.000206129,2.01951e-05,3.14205e-07,-1.71821,0.0138443,1,0,0,0,0,0
