Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.000707107,-0.000707107,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04453,0.368866,1,-0.00133472,0.00294065,-0.000423348,0.00325701,1.05593
2,1,0,0.00141421,-0.00141421,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05483,0.361138,1,0.00128968,6.7272e-05,-0.000322228,0.00133103,1.08427
3,1,0,0.00212132,-0.00212132,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06094,0.360005,1,0.00179819,-0.00144426,-0.00112827,0.00256756,1.10972
4,1,0,0.00282843,-0.00282843,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06756,0.365422,1,0.0035901,-0.00451249,-0.0020733,0.0061278,1.1601
5,1,0,0.00353553,-0.00353553,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0677,0.374445,1,0.00244081,-0.00482111,-0.00132952,0.00556492,1.18199
6,1,0,0.00424264,-0.00424264,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06647,0.386255,1,-0.000416999,-0.00460659,-0.00030081,0.00463519,1.20889
7,1,0,0.00494975,-0.00494975,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06467,0.388926,1,-0.00374888,-0.00451052,-9.22935e-05,0.00586579,1.21666
8,1,0,0.00565685,-0.00565685,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05893,0.381355,1,-0.00647066,-0.00294833,1.61353e-06,0.00711071,1.20976
9,1,0,0.00636396,-0.00636396,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05089,0.375205,1,-0.00805833,-0.00314443,-0.000721593,0.00868014,1.19955
10,1,0,0.00707107,-0.00707107,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0432,0.375026,1,-0.00754238,-0.00475201,-0.000826449,0.00895277,1.19736
11,1,0,0.00777817,-0.00777817,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03506,0.382911,1,-0.00555872,-0.00703182,-0.00119236,0.00904254,1.21452
12,1,0,0.00848528,-0.00848528,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02362,0.393802,1,-0.00409793,-0.0099669,-0.000689325,0.0107985,1.22396
13,1,0,0.00919239,-0.00919239,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0101,0.399286,1,-0.00252965,-0.012998,-0.00082915,0.0132678,1.23451
14,1,0,0.0098995,-0.0098995,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.9965,0.400105,1,-0.000626903,-0.0161971,-0.000835859,0.0162307,1.25037
15,1,0,0.0106066,-0.0106066,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98333,0.401088,1,5.79375e-05,-0.0168231,-0.000124578,0.0168236,1.26155
16,1,0,0.0113137,-0.0113137,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96839,0.401757,1,0.000331904,-0.0153816,-0.000126751,0.0153857,1.26027
17,1,0,0.0120208,-0.0120208,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.95055,0.397295,1,0.000712465,-0.0146276,0.000164304,0.0146458,1.24939
18,1,0,0.0127279,-0.0127279,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.9322,0.383895,1,-0.000284015,-0.0134831,0.000864389,0.0135138,1.24382
19,1,0,0.013435,-0.013435,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91364,0.367195,1,-0.00129331,-0.0126996,0.000758113,0.0127877,1.23896
20,1,0,0.0141421,-0.0141421,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89379,0.352527,1,-0.000687825,-0.0131043,-0.000188143,0.0131237,1.24019
21,1,0,0.0148492,-0.0148492,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.87128,0.342517,1,-0.000233654,-0.0129883,0.000176089,0.0129916,1.23888
22,1,0,0.0155563,-0.0155563,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.84617,0.3399,1,-0.000761422,-0.0124518,0.000760266,0.0124983,1.23842
23,1,0,0.0162635,-0.0162635,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.82095,0.344554,1,-0.00231465,-0.0110887,0.00129157,0.0114011,1.23428
24,1,0,0.0169706,-0.0169706,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.7964,0.347691,1,-0.00547515,-0.00740958,0.0016988,0.0093683,1.21434
25,1,0,0.0176777,-0.0176777,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.77468,0.341619,1,-0.00784082,-0.00374067,0.000833679,0.00872732,1.17853
26,1,0,0.0183848,-0.0183848,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.75791,0.325948,1,-0.00735007,-0.00172564,-0.000158261,0.00755159,1.15224
27,1,0,0.0190919,-0.0190919,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.74279,0.306833,1,-0.00475311,-0.00161902,-0.00079372,0.00508362,1.1404
28,1,0,0.019799,-0.019799,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.72463,0.293685,1,-0.00161867,-0.00175045,-0.000409909,0.00241913,1.12027
29,1,0,0.0205061,-0.0205061,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.70629,0.288431,1,-0.00371854,0.00143115,0.00282789,0.00488597,1.17078
