Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,2.47402e-34,-3.82499e-34,-4.57993e-36,4.55559e-34,5.36857e-34,6.67731e-34,3.8014e-36,-4.24693e-35,-1.00703e-35,-1.77021e-35,8.58087e-34,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.000707107,0.000707107,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03838,0.36213,1,-0.00307238,0.0034255,0.000486674,0.00462714,1.06736
2,1,0,0.00141421,0.00141421,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03928,0.352426,1,-0.00369978,0.00267918,0.000241133,0.00457433,1.07458
3,1,0,0.00212132,0.00212132,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0394,0.338501,1,-0.00264558,0.00169622,-0.000687084,0.00321689,1.07367
4,1,0,0.00282843,0.00282843,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03513,0.330819,1,7.5453e-05,0.00155502,-0.000678311,0.0016982,1.085
5,1,0,0.00353553,0.00353553,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03143,0.330068,1,0.00130092,0.000325339,-0.000442185,0.00141201,1.09853
6,1,0,0.00424264,0.00424264,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02331,0.336364,1,0.0028397,3.82689e-05,-0.00011407,0.00284224,1.10676
7,1,0,0.00494975,0.00494975,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01007,0.347629,1,0.00320158,0.00036787,8.1903e-05,0.00322369,1.07988
8,1,0,0.00565685,0.00565685,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99789,0.362686,1,0.00450204,-1.17891e-05,0.000418037,0.00452142,1.04745
9,1,0,0.00636396,0.00636396,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99023,0.369338,1,0.00543543,-0.00181577,0.00136398,0.00589079,1.03224
