Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,6.12323e-20,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03127,0.377325,1,-0.00332561,0.00336424,5.46361e-05,0.00473083,1.04003
2,1,0,1.22465e-19,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02849,0.375685,1,-0.00440037,0.00221974,-0.000198561,0.00493254,1.04524
3,1,0,1.83697e-19,0.003,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02788,0.370323,1,-0.00493847,0.00304786,-0.000320277,0.0058121,1.05843
4,1,0,2.44929e-19,0.004,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02818,0.364993,1,-0.00556162,0.00156331,0.000441494,0.005794,1.07523
5,1,0,3.06162e-19,0.005,0,0.005,3.9022e-17,-1.85568e-17,4.68577e-18,4.34629e-17,-3.34657e-18,-6.53069e-17,-6.38927e-18,-1.01353e-17,1.567e-18,1.39277e-18,6.65141e-17,2e-05,1.57024e-23,-7.0291,0.360841,1,-0.00403944,-0.00145905,0.000198965,0.00429947,1.08977
6,1,0,3.67394e-19,0.006,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03222,0.357604,1,-0.00142247,-0.00369323,0.000949598,0.00407003,1.09884
7,1,0,4.28626e-19,0.007,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03779,0.354765,1,0.00153559,-0.00781046,0.00070888,0.00799148,1.10275
8,1,0,4.89859e-19,0.008,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04205,0.353502,1,0.0029864,-0.0076562,-0.0013369,0.00832606,1.09038
9,1,0,5.51091e-19,0.009,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0421,0.360155,1,0.0023745,-0.00198463,-0.00156999,0.00347014,1.07734
10,1,0,6.12323e-19,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03887,0.373045,1,0.00111052,-0.00177351,0.00027006,0.00210986,1.05686
11,1,0,6.73556e-19,0.011,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03409,0.380815,1,-0.000181549,-0.00548352,-0.000527173,0.00551179,1.03029
12,1,0,7.34788e-19,0.012,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02689,0.385513,1,-0.00117957,-0.00344562,-0.00248186,0.00440719,1.00688
13,1,0,7.9602e-19,0.013,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01747,0.392353,1,-0.00145434,0.001727,-0.00146719,0.00269263,0.989917
14,1,0,8.57253e-19,0.014,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00913,0.396477,1,-0.00174798,0.00288029,-0.000837676,0.00347177,0.978666
15,1,0,9.18485e-19,0.015,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00445,0.392727,1,-0.00174994,0.00276022,-0.000526075,0.00331026,0.978612
16,1,0,9.79717e-19,0.016,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00066,0.389893,1,-0.00146324,0.00239612,-0.000428305,0.00284006,0.986304
17,1,0,1.04095e-18,0.017,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99453,0.391918,1,-0.00125802,0.00272888,-0.000532519,0.00305171,0.990538
18,1,0,1.10218e-18,0.018,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.9863,0.395251,1,-0.000980697,0.00462134,-0.000751192,0.0047836,0.995455
19,1,0,1.16341e-18,0.019,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.9778,0.396602,1,2.82291e-05,0.00734379,-0.000941791,0.00740399,1.00009
20,1,0,1.22465e-18,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96903,0.396712,1,0.00149076,0.00893219,-0.000689291,0.00908194,1.00419
21,1,0,1.28588e-18,0.021,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.95964,0.396746,1,0.00208863,0.00827272,-0.000283571,0.00853702,1.01315
22,1,0,1.34711e-18,0.022,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94985,0.396077,1,0.00217836,0.00695601,-0.000161608,0.00729092,1.01889
23,1,0,1.40834e-18,0.023,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94027,0.391321,1,0.0019409,0.00597802,-0.000150544,0.006287,1.01891
24,1,0,1.46958e-18,0.024,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.93109,0.378788,1,0.00121225,0.00571662,-0.00040312,0.00585762,1.01657
25,1,0,1.53081e-18,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.92187,0.358719,1,0.000327234,0.00663409,-0.000704864,0.00667945,1.02472
26,1,0,1.59204e-18,0.026,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91012,0.334084,1,-7.48851e-05,0.00816566,-0.000838403,0.00820893,1.04264
27,1,0,1.65327e-18,0.027,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89255,0.309545,1,0.000361311,0.00841205,-0.000316787,0.00842577,1.05026
28,1,0,1.71451e-18,0.028,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.8716,0.292515,1,0.00149893,0.00449267,0.000805987,0.00480421,1.03658
29,1,0,1.77574e-18,0.029,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.86044,0.289431,1,0.00301501,-0.00605443,0.00338165,0.00756187,1.1312
30,1,0,1.83697e-18,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94597,0.287163,1,0.00109581,-0.0574812,-0.26395,0.270139,2.28306
31,0,0,1.8982e-18,0.031,0,0.031,-0.00216886,-0.146154,8.8213,8.82252,0.000475832,0.000144924,0.00425752,-1.39681e-06,-0.000699307,-0.000189227,0.00434727,0.709525,0.00011231,-6.48524,0.248496,1,0,0,0,0,0
32,0,0,1.95943e-18,0.032,0,0.032,-0.00183872,-0.179357,10.1848,10.1864,0.000320899,0.000216203,0.00293978,1.37284e-05,-0.000743308,-0.000146017,0.00306039,0.556305,0.000163721,-6.09962,0.216979,1,0,0,0,0,0
33,1,0,2.02067e-18,0.033,0,0.033,-0.00162432,-0.199147,11.1249,11.1267,0.000232362,0.00027306,0.00215351,2.27514e-05,-0.000728142,-0.000115506,0.00230438,0.297788,0.000119951,-5.75799,0.190055,1,0,0,0,0,0
34,1,0,2.0819e-18,0.034,0,0.034,-0.00146241,-0.210903,11.7622,11.7641,0.000177204,0.000315148,0.00149532,2.76308e-05,-0.000659303,-8.67559e-05,0.00167621,0.055679,3.42531e-05,-5.43767,0.166427,1,0,0,0,0,0
35,0.778456,0.107779,2.14313e-18,0.035,0,0.035,-0.00127192,-0.217277,11.9004,11.9023,0.000146102,0.000330657,0.000808983,3.02619e-05,-0.0004977,-5.83689e-05,0.00101841,0.000372178,2.03477e-06,-5.14082,0.146179,1,0,0,0,0,0
36,1,0,2.20436e-18,0.036,0,0.036,-0.00122306,-0.221232,11.868,11.87,0.000124809,0.000332792,0.000703185,3.07621e-05,-0.00046715,-5.05796e-05,0.000917895,2.0885e-05,1.18189e-07,-4.87718,0.129461,1,0,0,0,0,0
37,1,0,2.2656e-18,0.037,0,0.037,-0.00178609,-0.224303,11.8388,11.8409,0.000109266,0.000331904,0.000613215,3.31607e-05,-0.000436523,-4.75942e-05,0.000831895,2.06536e-05,1.19422e-07,-4.63863,0.115286,1,0,0,0,0,0
38,1,0,2.32683e-18,0.038,0,0.038,-0.00178724,-0.227409,11.8115,11.8137,9.304e-05,0.000331085,0.000543402,3.07699e-05,-0.000411267,-3.97857e-05,0.000765003,2.05858e-05,1.43615e-07,-4.40908,0.10251,1,0,0,0,0,0
39,1,0,2.38806e-18,0.039,0,0.039,-0.000776494,-0.229302,11.7874,11.7896,8.09365e-05,0.000327251,0.00048273,2.80728e-05,-0.000385362,-3.33102e-05,0.000705035,2.05429e-05,1.43752e-07,-4.21592,0.0924071,1,0,0,0,0,0
