Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.000382683,0.00092388,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03504,0.36794,1,-0.00317841,0.00326131,0.000391209,0.00457072,1.05586
2,1,0,0.000765367,0.00184776,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03233,0.364138,1,-0.00445332,0.00193908,8.09536e-05,0.00485785,1.06114
3,1,0,0.00114805,0.00277164,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03139,0.356188,1,-0.00480792,0.00216695,-0.000137074,0.00527547,1.06437
4,1,0,0.00153073,0.00369552,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03166,0.347681,1,-0.00486799,0.00117494,-0.000269503,0.00501502,1.06533
5,1,0,0.00191342,0.0046194,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03284,0.342192,1,-0.00289117,0.000690542,-0.000519909,0.00301762,1.07026
6,1,0,0.0022961,0.00554328,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03334,0.34188,1,-0.00109012,0.000669899,-7.28033e-06,0.00127952,1.077
7,1,0,0.00267878,0.00646716,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03102,0.342825,1,0.000542776,-0.000882892,0.000194182,0.00105442,1.06467
8,1,0,0.00306147,0.00739104,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02915,0.341565,1,0.00255104,-0.00263664,0.000115759,0.00367057,1.04617
9,1,0,0.00344415,0.00831492,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02951,0.344545,1,0.0036809,-0.00414546,-0.000474188,0.00556406,1.04238
10,1,0,0.00382683,0.0092388,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02885,0.351632,1,0.00552216,-0.00200228,-0.00137186,0.00603203,1.03735
11,1,0,0.00420952,0.0101627,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02444,0.362499,1,0.00811124,0.00170589,-0.000516026,0.00830473,1.02994
12,1,0,0.0045922,0.0110866,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01762,0.377385,1,0.00845512,0.00349899,-3.09759e-05,0.00915057,1.02913
13,1,0,0.00497488,0.0120104,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00927,0.395879,1,0.00791828,0.00463169,-0.000204525,0.00917571,1.03692
14,1,0,0.00535757,0.0129343,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00101,0.410285,1,0.00700702,0.0060534,-0.000146886,0.00926086,1.04908
15,1,0,0.00574025,0.0138582,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99352,0.40912,1,0.00675187,0.008087,-0.000291571,0.0105391,1.05762
16,1,0,0.00612294,0.0147821,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98682,0.392511,1,0.00684616,0.00901491,-3.66563e-05,0.0113199,1.06426
17,1,0,0.00650562,0.015706,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98139,0.369934,1,0.00687262,0.00916691,5.86952e-05,0.0114572,1.0716
18,1,0,0.0068883,0.0166298,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.97489,0.352364,1,0.00667887,0.00900949,0.000140719,0.011216,1.06678
19,1,0,0.00727099,0.0175537,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96439,0.342289,1,0.00626225,0.00847254,0.000162739,0.0105369,1.05575
20,1,0,0.00765367,0.0184776,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.95078,0.33558,1,0.00551296,0.00773798,1.5484e-05,0.00950101,1.04445
21,1,0,0.00803635,0.0194015,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.93556,0.32738,1,0.00505066,0.00689579,-1.86716e-05,0.0085476,1.03486
22,1,0,0.00841904,0.0203253,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.91882,0.316778,1,0.0048925,0.00559326,1.44594e-05,0.00743111,1.0331
23,1,0,0.00880172,0.0212492,0,0.023,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89932,0.307454,1,0.00488051,0.00430223,-0.000160598,0.00650802,1.03002
24,1,0,0.0091844,0.0221731,0,0.024,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.87802,0.304142,1,0.00477293,0.00402106,-0.000403652,0.00625402,1.02453
25,1,0,0.00956709,0.023097,0,0.025,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.85655,0.31005,1,0.00454326,0.00435595,-0.000377884,0.00630542,1.00862
26,1,0,0.00994977,0.0240209,0,0.026,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.83614,0.321574,1,0.00446054,0.00432142,-0.000119046,0.0062117,0.997987
27,1,0,0.0103325,0.0249447,0,0.027,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.81845,0.328818,1,0.00430423,0.00209807,0.000490948,0.00481345,0.995916
28,1,0,0.0107151,0.0258686,0,0.028,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.80487,0.331857,1,0.00327607,-0.00309316,0.000874636,0.00458969,1.01416
29,1,0,0.0110978,0.0267925,0,0.029,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.80948,0.331164,1,0.00120129,-0.0120957,0.00461333,0.0130012,1.26597
30,0,0,0.0114805,0.0277164,0,0.03,-0.0355529,-0.0699974,5.35213,5.35271,0.000738013,0.000232221,0.00883849,-0.000335494,-0.000816484,0.000114524,0.00891683,0.372075,1.07818e-05,-6.80393,0.313753,1,0,0,0,0,0
31,0,0,0.0118632,0.0286403,0,0.031,-0.059585,-0.132194,9.21048,9.21162,0.000395257,0.000302984,0.00408362,-0.000130837,-0.000832465,-0.000254122,0.00420698,0.68928,0.000136344,-6.36604,0.258211,1,0,0,0,0,0
32,0,0,0.0122459,0.0295641,0,0.032,-0.0701386,-0.159918,10.4318,10.4332,0.000282975,0.000323813,0.00284557,-3.85613e-05,-0.000792559,-0.00029386,0.0029997,0.502943,0.000156216,-6.01374,0.217901,1,0,0,0,0,0
33,1,0,0.0126286,0.030488,0,0.033,-0.0768775,-0.177815,11.3224,11.3241,0.000219069,0.000337829,0.00202151,1.97955e-05,-0.000720801,-0.000288974,0.00220274,0.228839,0.000100734,-5.68856,0.185903,1,0,0,0,0,0
34,0.999927,7.29003e-05,0.0130112,0.0314119,0,0.034,-0.081146,-0.189286,11.8638,11.8656,0.000180683,0.00034592,0.00120265,5.68966e-05,-0.000581724,-0.000241378,0.00141371,0.0195783,1.71048e-05,-5.38119,0.159816,1,0,0,0,0,0
35,1,0,0.0133939,0.0323358,0,0.035,-0.0833918,-0.195727,11.8935,11.8954,0.000158708,0.000333636,0.000768493,7.10428e-05,-0.000462451,-0.000196196,0.000992211,6.75855e-05,3.60539e-07,-5.09715,0.138741,1,0,0,0,0,0
