Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.00092388,0.000382683,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04218,0.357536,1,-0.0027834,0.00382107,0.00022977,0.00473294,1.06845
2,1,0,0.00184776,0.000765367,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04709,0.343086,1,-0.00206109,0.00384414,-0.00045314,0.0043853,1.08402
3,1,0,0.00277164,0.00114805,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0472,0.330942,1,0.000673216,0.00369518,-0.00116025,0.00393113,1.08645
4,1,0,0.00369552,0.00153073,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04329,0.321677,1,0.00259496,0.00240073,-0.000674519,0.00359893,1.08087
5,1,0,0.0046194,0.00191342,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03484,0.31272,1,0.00320778,0.000831702,-0.000289105,0.00332643,1.09455
6,1,0,0.00554328,0.0022961,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.0239,0.308807,1,0.00335398,8.0379e-05,-0.000418212,0.00338091,1.11354
7,1,0,0.00646716,0.00267878,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.01401,0.316301,1,0.00210009,0.000549255,-7.63441e-05,0.00217207,1.11249
8,1,0,0.00739104,0.00306147,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00548,0.329093,1,0.000676717,0.000999567,4.3783e-05,0.00120789,1.09912
9,1,0,0.00831492,0.00344415,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99779,0.338336,1,0.000951324,0.00133497,-8.36919e-05,0.00164139,1.09424
