,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,2e-05,0.0,-7.03337,0.397148,1,0.0010000003094489522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.0336300000000005,0.42192700000000005,1,0.0019999949620436545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,0.0,-7.0349699999999995,0.431345,1,0.002999999514133294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2e-05,0.0,-7.0338899999999995,0.433019,1,0.004000004066222933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,4.04704e-24,-7.0333,0.423174,1,0.004999994476176948,0.0,-2.0632385925529794e-18,-1.2067201485017147e-18,1.74631e-19,5.77821e-18,2.703120000000001e-18,-5.377723847618993e-20,9.343350000000002e-18,1.521237709239585e-19,1.73102e-19
6,1.0,0.0,2e-05,0.0,-7.033980000000001,0.40562,1,0.005999999028266588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.03633,0.389918,1,0.007000003580356227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.0392,0.369151,1,0.007999993990310242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.038889999999999,0.35056,1,0.008999998542399882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.034910000000001,0.337028,1,0.01000000309448952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-7.02913,0.328054,1,0.010999993504443537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,2e-05,0.0,-7.02578,0.319456,1,0.011999998056533175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,2e-05,0.0,-7.0244,0.310685,1,0.013000002608622815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,2e-05,0.0,-7.020969999999999,0.304911,1,0.014000007160712454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,2e-05,0.0,-7.01426,0.302221,1,0.01499999757066647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,2e-05,0.0,-7.00445,0.300784,1,0.015999987980620484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,2e-05,0.0,-6.990660000000001,0.298212,1,0.0169999783905745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,2e-05,0.0,-6.9705699999999995,0.292885,1,0.017999968800528517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,2e-05,0.0,-6.944780000000001,0.286236,1,0.01899995921048253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,2e-05,0.0,-6.915719999999999,0.280007,1,0.01999994962043655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,2e-05,0.0,-6.88474,0.27470500000000003,1,0.020999940030390567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2e-05,0.0,-6.8519,0.271801,1,0.021999930440344578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,2e-05,0.0,-6.817810000000001,0.274067,1,0.023000062271654832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
