,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,2.4740199999999997e-34,-3.82499e-34,-4.57993e-36,5.36857e-34,-4.2469300000000003e-35,-1.77021e-35,6.677310000000002e-34,-1.0070299999999998e-35,3.8014e-36
1,1.0,0.0,2e-05,-1.27574e-23,-7.0446,0.358222,1,0.001,0.0,-2.1467700000000002e-17,2.9531399999999997e-17,9.578e-19,1.7150399999999998e-17,7.2025e-18,-4.11771e-18,4.56949e-17,-8.68878e-19,1.77611e-18
2,1.0,0.0,2e-05,0.0,-7.052060000000001,0.34533200000000003,1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,-4.798740000000001e-24,-7.057119999999999,0.337302,1,0.003,0.0,-3.74819e-18,5.33548e-18,1.18728e-18,8.49545e-18,5.116240000000001e-19,-5.268800000000001e-19,1.54023e-17,-5.3775e-19,5.63427e-19
4,1.0,0.0,2e-05,0.0,-7.05808,0.333877,1,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,0.0,-7.05157,0.32366300000000003,1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,2e-05,0.0,-7.0380199999999995,0.309829,1,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.02376,0.30680599999999997,1,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.01123,0.31524,1,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-6.999560000000001,0.327599,1,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-6.98975,0.33164499999999997,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-6.982069999999999,0.324765,1,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
