,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,2e-05,0.0,-7.044460000000001,0.37455,1,0.0010000002664444646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.050910000000001,0.375064,1,0.0020000009155720405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,0.0,-7.0557,0.373768,1,0.003000001182016434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2e-05,0.0,-7.0576,0.376577,1,0.004000000300412488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,0.0,-7.05779,0.3803,1,0.005000003245638946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,2e-05,0.0,-7.054360000000001,0.385912,1,0.006000002364032868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.05094,0.392814,1,0.0070000014824284145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.0495399999999995,0.396976,1,0.008000004427655024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.04771,0.402437,1,0.0090000035460493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.044919999999999,0.41198100000000004,1,0.010000002664444644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-7.0408100000000005,0.423095,1,0.011000024087264536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,2e-05,0.0,-7.0319899999999995,0.42954200000000003,1,0.012000041683260937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,2e-05,0.0,-7.0151699999999995,0.429288,1,0.012999966891280915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,2e-05,0.0,-6.989960000000001,0.426626,1,0.013999988314098693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,2e-05,0.0,-6.962510000000001,0.424554,1,0.015000005910082168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,2e-05,0.0,-6.94073,0.41615699999999994,1,0.016000027332901654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,2e-05,0.0,-6.927110000000001,0.397185,1,0.017000044928893572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,2e-05,0.0,-6.915089999999999,0.373002,1,0.017999970136919674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,2e-05,0.0,-6.8993,0.34728000000000003,1,0.0189999915597376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,2e-05,0.0,-6.87715,0.323671,1,0.0200000091557204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,2e-05,0.0,-6.84738,0.308461,1,0.02100002675170915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2e-05,0.0,-6.811319999999999,0.31062199999999995,1,0.021999955786582842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,2e-05,0.0,-6.7731699999999995,0.335473,1,0.022999973382558513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,2e-05,0.0,-6.7381899999999995,0.371739,1,0.02399999097853997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,2e-05,0.0,-6.7111600000000005,0.388312,1,0.025000012401358924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,2e-05,0.0,-6.690510000000001,0.384442,1,0.02600002999734616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,2e-05,0.0,-6.674410000000001,0.370138,1,0.026999974339617434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,2e-05,0.0,-6.659560000000001,0.35246500000000003,1,0.02799996132086614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,2e-05,0.0,-6.657089999999999,0.346962,1,0.028999986570514134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.370542,1.07335e-05,-6.655530000000001,0.328395,1,0.030000011820164336,0.0,-0.07599896899133408,0.004045923930851996,5.32339,0.00010005608337383245,9.673114700614827e-05,-0.0009624309122272569,0.0012988149166261675,-0.0009493701334745104,0.0110369
31,0.0,0.0,0.690126,0.000136193,-6.23344,0.25857600000000003,1,0.031000037069816546,0.0,-0.13996396758218033,0.003000273763236666,9.19138,0.00034486094521554,0.00014208330166401662,-0.0010667298605644192,0.0006288560547844599,-0.0003563020328614679,0.00419472
32,0.0,0.0,0.504266,0.000156021,-5.896059999999999,0.208858,1,0.03199996993154837,0.0,-0.16848733699973611,0.0024667852819705155,10.4161,0.00041859287618693525,0.00012402660013079858,-0.0009484819333284419,0.0004076071238130647,-0.0002013440840192256,0.00273436
33,1.0,0.0,0.230262,0.00010110200000000001,-5.58461,0.172399,1,0.03299999518121177,0.0,-0.1869334801579052,0.0020930713829348663,11.3096,0.0004433605452575578,0.00010053113884824439,-0.0008050433874142876,0.00027923045474244216,-0.00011640720409634975,0.00185662
34,1.0,-1.42886e-12,0.020029599999999998,1.7337e-05,-5.289619999999999,0.144805,1,0.03399998216249532,0.0,-0.19878723230256123,0.0017783491354491643,11.8547,0.0004427043637862041,7.977119085938852e-05,-0.0006237803545877844,0.0002017386362137959,-6.622680848672902e-05,0.00109804
35,0.998495,0.00149181,6.94036e-05,3.84833e-07,-5.01631,0.123841,1,0.03500000741214207,0.0,-0.2055332528500492,0.0014869586536727097,11.8869,0.00040713457413617715,6.170814813397815e-05,-0.0004739592560328605,0.00016069442586382282,-3.574561827381645e-05,0.000692639
36,1.0,0.0,2.07019e-05,1.20148e-07,-4.768669999999999,0.107733,1,0.036000032661790735,0.0,-0.21106261464338189,0.0019482689596846403,11.8566,0.0003751482810109245,4.840145917221912e-05,-0.0004211867371906868,0.0001324777189890755,-2.3400035377394563e-05,0.000588823
37,1.0,0.0,2.0637399999999997e-05,1.35537e-07,-4.5423599999999995,0.094943,1,0.03699996552349745,0.0,-0.21574084792388679,0.001576881112311121,11.8284,0.00034795986250814954,3.8703489668245606e-05,-0.00037956998156472665,0.00011100413749185037,-1.67682647865859e-05,0.00050924
38,1.0,0.0,2.05834e-05,1.35867e-07,-4.32849,0.0842403,1,0.03799999077315678,0.0,-0.2195884610994533,0.0016821089185541094,11.8009,0.00032358310825610634,2.8495696175036605e-05,-0.0003424063423490011,9.402089174389364e-05,-8.872115203188629e-06,0.00044065300000000005
39,1.0,0.0,2.05348e-05,1.58123e-07,-4.13774,0.0756343,1,0.039000016022817226,0.0,-0.22205965173187953,0.0017890316392867867,11.7774,0.00030335878819173453,2.1775848301386514e-05,-0.0003140115903194549,8.020621180826544e-05,-4.789549566167555e-06,0.000390796
40,1.0,0.0,2.0497199999999997e-05,1.60976e-07,-3.95168,0.0679518,1,0.04000000300412488,0.0,-0.2249274376369612,0.0015917701564398257,11.7555,0.0002879884646339712,1.622286803805042e-05,-0.00028903486413235717,6.920453536602882e-05,-1.8380601159506612e-06,0.00034461
41,1.0,0.0,2.04686e-05,1.7275600000000002e-07,-3.77916,0.061391499999999995,1,0.04100002825377075,0.0,-0.22783947458567969,0.0016247704488336623,11.734000000000002,0.0002757312985156439,1.1865004300936793e-05,-0.0002682963963013781,5.971760148435608e-05,9.263743246173885e-08,0.00030703400000000003
42,1.0,0.0,2.04375e-05,1.7814299999999998e-07,-3.61323,0.055547400000000004,1,0.041999961115458194,0.0,-0.230643919397175,0.0017241498193149157,11.7146,0.00026467244874534576,8.436738493710057e-06,-0.0002489282680590073,5.2391851254654216e-05,1.3569128759791192e-06,0.00027349599999999997
43,1.0,0.0,2.03975e-05,1.8750599999999999e-07,-3.4518400000000002,0.0503391,1,0.042999986365114116,0.0,-0.23405672022985582,0.0020298415536702252,11.6955,0.00025702118293121344,5.5186502291094205e-06,-0.00023215740130914074,4.6528717068786475e-05,2.0448458001947706e-06,0.00024394
44,1.0,0.0,2.0361800000000002e-05,1.8596499999999998e-07,-3.3003699999999996,0.045894300000000006,1,0.04400001161477119,0.0,-0.23903104915561893,0.0022554048004904265,11.6777,0.00025817409464626984,4.535595026564814e-06,-0.00021687952728042576,4.165870535373017e-05,1.4775756593296254e-06,0.000218768
45,1.0,0.0,2.03579e-05,2.0506900000000002e-07,-3.12371,0.041291,1,0.04500003686442934,0.0,-0.23377227119307625,0.001723574422761262,11.6581,0.00023070157908255604,5.37330443023608e-07,-0.00019238137077456067,3.491262091744397e-05,2.549859812032477e-06,0.000193842
46,1.0,0.0,2.0351e-05,2.19316e-07,-3.00363,0.038766300000000004,1,0.04600002384575469,0.0,-0.23059491976575525,0.0013015283265809113,11.6451,0.00022402994635968684,-1.269362738247067e-06,-0.00018235604632826723,3.223635364031314e-05,3.19580380074348e-06,0.000181027
47,1.0,0.0,2.03405e-05,2.3280100000000002e-07,-2.8769299999999998,0.0361634,1,0.04699995670742687,0.0,-0.23070308824747976,0.0010142552516827913,11.6308,0.0002262830560461539,-1.7343561575553664e-06,-0.00017412523736759337,2.94370439538461e-05,3.314115519903311e-06,0.000167454
48,1.0,0.0,2.03299e-05,2.46286e-07,-2.75022,0.033560400000000004,1,0.04799998195707994,0.0,-0.230811218460861,0.0007270745647379312,11.6166,0.0002285353268238913,-2.1989606681339825e-06,-0.00016589439013857624,2.6637673176108684e-05,3.432519627016373e-06,0.00015388
49,1.0,0.0,2.03186e-05,2.58678e-07,-2.62663,0.030959500000000004,1,0.049000007206734156,0.0,-0.23085521791650784,0.0004509972967443737,11.6029,0.00022954833158880534,-2.64807954020461e-06,-0.0001572602489098509,2.395936841119461e-05,3.521121220823678e-06,0.000140373
