,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,2e-05,0.0,-7.0287,0.399532,1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.02645,0.411642,1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,1.26901e-24,-7.02735,0.41167600000000004,1,0.003,0.0,-3.162480000000007e-19,5.39705e-18,3.1334499999999995e-20,-6.561729999999996e-19,-1.6996300000000002e-18,8.384399999999998e-20,1.3420299999999997e-18,1.0805900000000001e-19,-2.47167e-19
4,1.0,0.0,2e-05,2.4597900000000004e-24,-7.02757,0.401125,1,0.004,0.0,5.063719999999983e-19,1.3658699999999998e-17,7.450949999999999e-19,-1.2559699999999988e-18,-4.32224e-18,3.404649999999999e-19,-1.0738500000000012e-18,6.54274e-19,-6.7872100000000005e-19
5,1.0,0.0,2e-05,0.0,-7.0262199999999995,0.38761999999999996,1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,2e-05,0.0,-7.0256300000000005,0.375361,1,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.032260000000001,0.3575,1,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.0405,0.339706,1,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.04604,0.324989,1,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.04777,0.315399,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-7.047739999999999,0.314156,1,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,2e-05,0.0,-7.048889999999999,0.320337,1,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,2e-05,0.0,-7.05047,0.32964,1,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,2e-05,0.0,-7.0499,0.338608,1,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,2e-05,0.0,-7.04668,0.34633200000000003,1,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,2e-05,0.0,-7.04045,0.35275100000000004,1,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,2e-05,0.0,-7.03142,0.359763,1,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,2e-05,0.0,-7.02112,0.368818,1,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,2e-05,0.0,-7.0099100000000005,0.378698,1,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,2e-05,0.0,-6.99645,0.388018,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,2e-05,0.0,-6.98015,0.396284,1,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2e-05,0.0,-6.96005,0.400875,1,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,2e-05,0.0,-6.936380000000001,0.40032199999999996,1,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,2e-05,0.0,-6.91147,0.390735,1,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,2e-05,0.0,-6.884339999999999,0.37252399999999997,1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,2e-05,0.0,-6.8505,0.351806,1,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,2e-05,0.0,-6.8117399999999995,0.33327199999999996,1,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,2e-05,0.0,-6.775930000000001,0.321871,1,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,2e-05,0.0,-6.75784,0.320701,1,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,0.0,2e-05,0.0,-6.84346,0.31652600000000003,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.710133,0.000112205,-6.40244,0.259515,1,0.031,0.0,-0.142001,-0.0002697500000000174,8.80945,0.00024932700000000003,5.3796199999999903e-05,-0.000895222,0.00105692,-0.00041155800000000013,0.00452146
32,0.0,0.0,0.556897,0.000163349,-6.0336099999999995,0.21695599999999998,1,0.032,0.0,-0.17507799999999998,-0.0005610640000000215,10.1766,0.000306436,6.978919999999997e-05,-0.0008370830000000001,0.00067062,-0.0002972720000000001,0.00294964
33,0.9995620000000001,0.000436386,0.298273,0.00011977899999999999,-5.70406,0.185192,1,0.033,0.0,-0.195055,-0.0006891530000000239,11.1189,0.00033637699999999995,7.527039999999999e-05,-0.0007572319999999999,0.00046068,-0.00022270800000000006,0.00208973
34,1.0,0.0,0.05593390000000001,3.43606e-05,-5.39304,0.15966,1,0.034,0.0,-0.207065,-0.0008145740000000254,11.7577,0.000353571,7.52266e-05,-0.00065544,0.000334315,-0.00016354200000000008,0.00142735
35,0.727783,0.12067699999999999,0.000375888,2.0959599999999997e-06,-5.103619999999999,0.138879,1,0.035,0.0,-0.213773,-0.0009121810000000262,11.8969,0.00034702400000000003,7.108130000000001e-05,-0.00047488300000000005,0.000261451,-0.00010519400000000005,0.000754094
36,1.0,0.0,2.08873e-05,1.1964800000000001e-07,-4.84577,0.12230099999999999,1,0.036000000000000004,0.0,-0.217966,-0.0008843350000000267,11.8652,0.000332459,6.735860000000002e-05,-0.000435738,0.00021522200000000002,-9.062910000000005e-05,0.000648591
37,1.0,0.0,2.0643899999999997e-05,1.26249e-07,-4.61184,0.10853,1,0.037000000000000005,0.0,-0.221619,-0.0006463640000000271,11.8371,0.000321709,6.452110000000001e-05,-0.000404815,0.000179028,-7.994520000000006e-05,0.000569293
38,1.0,0.0,2.05896e-05,1.41888e-07,-4.38603,0.0963183,1,0.038,0.0,-0.22480999999999998,-0.0008605910000000276,11.8088,0.000311695,6.185810000000004e-05,-0.000375599,0.000150165,-7.173870000000005e-05,0.000499829
39,1.0,0.0,2.0545500000000002e-05,1.44295e-07,-4.19586,0.0868163,1,0.039,0.0,-0.22662800000000002,-0.0007425740000000277,11.7849,0.000300814,5.696730000000001e-05,-0.00034722400000000004,0.000127585,-6.159780000000004e-05,0.00043926
40,1.0,0.0,2.0506900000000002e-05,1.60129e-07,-4.00767,0.0780696,1,0.04,0.0,-0.227421,-0.0005871210000000279,11.7626,0.00028962,5.377450000000002e-05,-0.000322262,0.000108744,-5.505030000000004e-05,0.00039095300000000004
41,1.0,0.0,2.04768e-05,1.66e-07,-3.8309300000000004,0.0703829,1,0.040999999999999995,0.0,-0.22878099999999998,-0.000462686000000028,11.7412,0.000280403,5.046960000000002e-05,-0.000298367,9.411809999999999e-05,-4.837490000000003e-05,0.000345975
42,1.0,0.0,2.04486e-05,1.76034e-07,-3.66641,0.063635,1,0.042,0.0,-0.226798,-0.00046633600000002773,11.7213,0.000269422,4.705840000000003e-05,-0.000275405,8.20541e-05,-4.246660000000003e-05,0.00030774700000000003
43,1.0,0.0,2.04138e-05,1.82544e-07,-3.5067800000000005,0.0575461,1,0.043,0.0,-0.22720500000000002,-0.00037854000000002783,11.7027,0.000260311,4.506490000000002e-05,-0.000254395,7.228060000000001e-05,-3.8460200000000035e-05,0.00027445599999999996
44,1.0,0.0,2.0373699999999998e-05,1.84802e-07,-3.3629,0.052372800000000004,1,0.044000000000000004,0.0,-0.22428,-0.0007835620000000274,11.6852,0.00024951,4.329700000000002e-05,-0.000234311,6.41529e-05,-3.571310000000003e-05,0.000249159
45,1.0,0.0,2.03569e-05,1.99681e-07,-3.20811,0.0474148,1,0.045,0.0,-0.22536399999999998,0.0021555199999999724,11.6678,0.000248162,3.8168000000000025e-05,-0.000217504,5.651320000000001e-05,-2.8149700000000026e-05,0.000222718
46,1.0,0.0,2.03509e-05,2.1638e-07,-3.08553,0.0437629,1,0.046,0.0,-0.230508,-0.0035037200000000283,11.6541,0.000250202,3.929300000000003e-05,-0.00020809,5.1387700000000016e-05,-2.8404600000000026e-05,0.000202148
47,1.0,0.0,2.0339e-05,2.2703000000000004e-07,-2.95732,0.040619800000000005,1,0.047,0.0,-0.23105,-0.002595530000000028,11.6395,0.00025049,3.6558200000000025e-05,-0.000196883,4.7162600000000015e-05,-2.5336300000000024e-05,0.000185448
