,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,3.8249899999999998e-34,2.4740200000000006e-34,-4.57993e-36,6.677310000000002e-34,4.246930000000003e-35,1.00703e-35,5.36857e-34,-1.7702099999999996e-35,3.8014e-36
1,1.0,0.0,2e-05,0.0,-7.04133,0.38366300000000003,1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.045260000000001,0.390633,1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,0.0,-7.0468,0.392297,1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2e-05,0.0,-7.04683,0.390625,1,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,8.48905e-24,-7.04475,0.393178,1,0.005,0.0,-2.6859500000000004e-17,3.8241899999999997e-17,2.7680400000000003e-18,-6.89157e-17,4.524519999999995e-18,4.050879999999999e-18,-4.1903999999999995e-17,7.408580000000001e-18,-7.256789999999999e-18
6,1.0,0.0,2e-05,0.0,-7.04212,0.40074899999999997,1,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.04298,0.40718499999999996,1,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.045839999999999,0.407839,1,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.0446,0.411067,1,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.04033,0.41653900000000005,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
