,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,2e-05,0.0,-7.02965,0.38853000000000004,1,0.0010000003094489522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.025110000000001,0.392395,1,0.0019999949620436545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,0.0,-7.023339999999999,0.382751,1,0.002999999514133294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2e-05,0.0,-7.017530000000001,0.373267,1,0.004000004066222933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,0.0,-7.0136899999999995,0.371604,1,0.004999994476176948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,2e-05,0.0,-7.013719999999999,0.366576,1,0.005999999028266588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.019410000000001,0.360421,1,0.007000003580356227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.0350399999999995,0.35778699999999997,1,0.007999993990310242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.052630000000001,0.367977,1,0.008999998542399882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.06355,0.38263800000000003,1,0.01000000309448952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-7.0660300000000005,0.391871,1,0.010999993504443537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,2e-05,0.0,-7.06089,0.395063,1,0.011999998056533175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,2e-05,0.0,-7.0514399999999995,0.394658,1,0.013000002608622815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,2e-05,0.0,-7.04035,0.39548,1,0.014000007160712454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,2e-05,0.0,-7.026039999999999,0.398923,1,0.01499999757066647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,2e-05,0.0,-7.00943,0.402254,1,0.015999987980620484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,2e-05,0.0,-6.990589999999999,0.403859,1,0.0169999783905745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,2e-05,0.0,-6.96955,0.404803,1,0.017999968800528517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,2e-05,0.0,-6.94678,0.407325,1,0.01899995921048253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,2e-05,0.0,-6.92338,0.41519300000000003,1,0.01999994962043655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,2e-05,0.0,-6.898960000000001,0.426731,1,0.020999940030390567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2e-05,0.0,-6.873639999999999,0.44374600000000003,1,0.021999930440344578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,2e-05,0.0,-6.847189999999999,0.46590699999999996,1,0.023000062271654832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,2e-05,0.0,-6.8215,0.488316,1,0.024000052681608843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,2e-05,0.0,-6.800210000000001,0.502039,1,0.025000043091562865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,2e-05,0.0,-6.78262,0.502653,1,0.026000033501516875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,2e-05,0.0,-6.76768,0.490774,1,0.027000023911470897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,2e-05,0.0,-6.7572,0.47069300000000003,1,0.028000014321424908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,2e-05,0.0,-6.753760000000001,0.458844,1,0.029000004731378922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.999957,0.0,2.59103e-05,6.86743e-11,-6.83875,0.451891,1,0.02999999514133294,0.0,-3.2557176104815973e-06,-2.694783943101931e-07,0.000138426,3.0005499999999987e-09,-4.5804999999999926e-10,-2.895800258857644e-08,3.684195e-08,1.381078538606693e-08,4.2023099999999997e-07
31,0.0,0.0,0.710069,0.00011217700000000001,-6.39498,0.369594,1,0.030999985551286958,0.0,-0.14180234537101283,-0.00555870782826369,8.80826,0.0003115504999999999,-4.745350000000004e-05,-0.0012867533224235328,0.0006642145,2.954292131797376e-06,0.00637687
32,0.0,0.0,0.55689,0.000163309,-6.02646,0.305211,1,0.03199997596124097,0.0,-0.1746525465259525,-0.004475985924910858,10.1755,0.00041603865999999994,-2.9098000000000025e-05,-0.0012147288399054334,0.00042903934000000003,-4.7366254844562194e-05,0.00410048
33,0.999423,0.000574471,0.298392,0.00011975399999999999,-5.69814,0.25664699999999996,1,0.03299996637119499,0.0,-0.19451376179592023,-0.0037236243097283767,11.118,0.0004714105,-1.2252499999999985e-05,-0.001092283401248046,0.0002984125,-5.713705634699789e-05,0.0028579
34,1.0,0.0,0.056073000000000005,3.44272e-05,-5.388380000000001,0.217846,1,0.033999956781149,0.0,-0.2065458907845905,-0.0030815713524109806,11.7569,0.000500236,-1.4209999999999717e-06,-0.0009367892058515619,0.000218742,-5.126665584958716e-05,0.00193987
35,0.747002,0.118649,0.000376253,2.0812599999999996e-06,-5.0999300000000005,0.18668099999999999,1,0.03499994719110301,0.0,-0.21367069871182617,-0.0022867833303573254,11.8969,0.000490854,4.466000000000008e-06,-0.0006819620640475539,0.00017283399999999997,-4.065156885041469e-05,0.0010407
36,1.0,0.0,2.08758e-05,1.21587e-07,-4.8426800000000005,0.162307,1,0.03599993760105703,0.0,-0.2184210420678374,-0.0018370634175226552,11.865,0.0004689045,8.698500000000039e-06,-0.0006183472024781061,0.00014279650000000005,-3.708845778001567e-05,0.000885197
37,1.0,0.0,2.06594e-05,1.23067e-07,-4.6090800000000005,0.142456,1,0.037000069432367284,0.0,-0.22188869372277623,-0.0017465537495307965,11.8356,0.0004491435,1.1649500000000018e-05,-0.0005631313552555922,0.00012009549999999996,-3.353383199099089e-05,0.000760445
